Generating Match Report...
MATCH: Burns Lake Lakes District News Burns Lake Lakes District News 03_19_2025 5.pdf | Page 5 | Context: Jake Wray and were able to arrest a suspect without orGooglePlayAppstores.
MATCH: Terrace Standard Terrace Standard 08_21_2025 1.pdf | Page 3 | Context: Jake Wray “Any driver stopped by police for any lawful tion. No impaired driving deaths were reported
MATCH: Terrace Standard Terrace Standard 08_28_2025 1.pdf | Page 1 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 08_28_2025 1.pdf | Page 2 | Context: Jake Wray Police find weapons during driver fled into the forest. Offi-
MATCH: Terrace Standard Terrace Standard 08_28_2025 1.pdf | Page 6 | Context: Jake Wray provide blood work and lab results to
MATCH: Terrace Standard Terrace Standard 08_28_2025 1.pdf | Page 11 | Context: Jake Wray is part of an official Remedi-
MATCH: Terrace Standard Terrace Standard 09_04_2025 1.pdf | Page 1 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 09_04_2025 1.pdf | Page 2 | Context: Jake Wray reported stolen the following The owner later located it from a trailer park on Old
MATCH: Terrace Standard Terrace Standard 09_04_2025 1.pdf | Page 3 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 09_04_2025 1.pdf | Page 6 | Context: Jake Wray nue, on McConnell Avenue Multi-use pathways are
MATCH: Terrace Standard Terrace Standard 09_04_2025 1.pdf | Page 8 | Context: Jake Wray community,” noting Indigenous commu- ty hard on some
MATCH: Terrace Standard Terrace Standard 09_11_2025 1.pdf | Page 1 | Context: was moved to tears as he reflected on the drug crisis. A photo collage of people lost to the crisis remained in front of the stage. (Jake Wray photo/Terrace Standard)
MATCH: Terrace Standard Terrace Standard 09_11_2025 1.pdf | Page 2 | Context: Jake Wray of Kalum Kabs’ shuttle buses Potential arson scenes prove ment is also deeply grateful
MATCH: Terrace Standard Terrace Standard 09_11_2025 1.pdf | Page 3 | Context: Jake Wray destruction, and the cash was referred to the In the second month of the C-STEP initiative, Three repeat offenders were referred to sup-
MATCH: Terrace Standard Terrace Standard 09_11_2025 1.pdf | Page 7 | Context: Jake Wray “During a wildfire, smoke conditions can
MATCH: Terrace Standard Terrace Standard 09_11_2025 1.pdf | Page 8 | Context: Jake Wray hot spell is being driv- official warning map. worsening of existing space and staff need-
MATCH: Terrace Standard Terrace Standard 09_18_2025 1.pdf | Page 2 | Context: Jake Wray Park Museum log buildings desig-
MATCH: Terrace Standard Terrace Standard 09_18_2025 1.pdf | Page 3 | Context: Jake Wray based on the twin constructs of as-
MATCH: Terrace Standard Terrace Standard 09_18_2025 1.pdf | Page 6 | Context: Jake Wray materials,” complicating safe entry and sam-
MATCH: Terrace Standard Terrace Standard 09_18_2025 1.pdf | Page 9 | Context: Jake Wray 2026 exemption year, but two ad- race and District Community Ser- tax exemption,” Khalie Genereaux, debate. Final adoption will come
MATCH: Terrace Standard Terrace Standard 09_25_2025 1.pdf | Page 3 | Context: Jake Wray Gordon stressed the importance of leaving a the first meeting set for January 2026. The theme
MATCH: Terrace Standard Terrace Standard 09_25_2025 1.pdf | Page 14 | Context: Jake Wray 26,420 in August 2024 and 29,131
MATCH: Terrace Standard Terrace Standard 10_02_2025 1.pdf | Page 2 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 10_02_2025 1.pdf | Page 3 | Context: Jake Wray at improving access for those arriv- leased across Highway 16 at the
MATCH: Terrace Standard Terrace Standard 10_02_2025 1.pdf | Page 8 | Context: Jake Wray are not effective. Certified trackers can help
MATCH: Terrace Standard Terrace Standard 10_02_2025 1.pdf | Page 12 | Context: Jake Wray Hayward began his BCEHS ca-
MATCH: Terrace Standard Terrace Standard 10_09_2025 1.pdf | Page 2 | Context: Jake Wray 2, when a hospital employee Police said he was using the
MATCH: Terrace Standard Terrace Standard 10_09_2025 1.pdf | Page 3 | Context: Jake Wray The survey found that 81 per Income insecurity was another de-
MATCH: Terrace Standard Terrace Standard 10_16_2025 1.pdf | Page 1 | Context: Jake Wray costs for the CASDDA K9
MATCH: Terrace Standard Terrace Standard 10_16_2025 1.pdf | Page 2 | Context: DriveBC. alternating traffic has now been cleared and the westbound highway lane is open again. (Jake Wray/Terrace Standard)
MATCH: Terrace Standard Terrace Standard 10_16_2025 1.pdf | Page 3 | Context: (Seabridge Gold photo) Jake Wray
MATCH: Terrace Standard Terrace Standard 10_23_2025 1.pdf | Page 1 | Context: Kitselas First Nation raised a new totem pole on Oct. 16, 2025 next to the new community hall in Gitaus. It is the first totem pole Kitselas has raised in over a decade. Story on Page A2. (Jake Wray/Terrace Standard)
MATCH: Terrace Standard Terrace Standard 10_23_2025 1.pdf | Page 2 | Context: “Today is a great day for our people,” he said, practicing and bearing witness to our culture— to raising it on Oct. 16, 2025 in Gitaus. It is the first totem pole raised by the Nation in over a decade. (Jake Wray/
MATCH: Terrace Standard Terrace Standard 10_23_2025 1.pdf | Page 3 | Context: Jake Wray ever, the 2025 number Service press release and numbers for 2025 HOURS
MATCH: Terrace Standard Terrace Standard 10_30_2025 1.pdf | Page 1 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 10_30_2025 1.pdf | Page 2 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 10_30_2025 1.pdf | Page 3 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 10_30_2025 1.pdf | Page 8 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 11_06_2025 1.pdf | Page 1 | Context: Industrious Terrace trick-or-treaters were faced with a heavy downpour on Oct. 31, 2025, as well as spooky skeletons and other terrors. (Jake Wray/Terrace Standard)
MATCH: Terrace Standard Terrace Standard 11_06_2025 1.pdf | Page 2 | Context: Jake Wray
MATCH: Terrace Standard Terrace Standard 11_06_2025 1.pdf | Page 3 | Context: Jake Wray which is now estimat- to secure Taisheng’s
MATCH: Terrace Standard Terrace Standard 11_06_2025 1.pdf | Page 16 | Context: Jake Wray end of this year, up explained that each of host families.

Total Matches Found: 212
